block_idx,MSE01,MAE01,PSNR,SSIM,alpha,beta
0,0.03528405,0.13773424,15.823,0.72998,1.144005,-0.841025
1,0.00251891,0.03422764,26.724,0.92619,1.235678,0.111357
2,0.01133004,0.07078894,20.711,0.80960,0.981384,-0.051234
3,0.01519699,0.08874244,19.629,0.75674,1.780786,-0.678210
4,0.01274916,0.07868758,20.419,0.75665,1.278126,-0.635890
5,0.03133353,0.12438978,16.492,0.76968,1.845613,-0.603864
6,0.00434113,0.04057248,25.498,0.91569,1.159886,-0.039843
7,0.01430318,0.07533522,20.813,0.82768,1.211708,-0.334017
8,0.01643377,0.09253036,18.269,0.79064,1.962941,-2.066999
9,0.01347794,0.09333597,19.085,0.74388,1.857486,-1.275677
10,0.00336199,0.04218986,25.289,0.86116,0.969088,-0.195888
11,0.00829245,0.06601163,21.503,0.83088,1.041287,0.495544
