block_idx,RMSE_m,MAE_m,MeanRel,MSE01,PSNR,SSIM
0,18.997317,14.450471,-0.547388,0.06355797,13.020,0.62807
1,18.167738,13.770536,-0.500329,0.06334474,13.759,0.65109
2,19.720342,15.386063,-0.639603,0.06625526,12.534,0.56061
3,16.990294,12.527010,-0.522398,0.04608054,13.561,0.66501
4,16.928720,12.640129,-0.511565,0.04701214,13.698,0.69794
5,18.273764,13.988897,-0.562967,0.05675827,13.184,0.63865
6,10.723478,7.467113,-0.124870,0.02175776,18.198,0.88787
7,11.748354,7.818661,-0.065457,0.02413706,17.219,0.87936
8,12.062386,8.091867,-0.183506,0.02504511,16.846,0.86888
9,9.955216,6.631377,-0.078328,0.01959983,19.118,0.91495
10,5.570814,3.734545,0.020344,0.00585966,23.935,0.95289
11,6.489151,5.273441,0.296783,0.00690872,22.013,0.91436
