setting,key
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000011_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000056_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000086_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000092_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000095_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000107_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000110_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000116_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000119_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000128_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000131_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000134_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000140_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0005_sync_image_0000000146_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0013_sync_image_0000000005_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0013_sync_image_0000000011_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0013_sync_image_0000000017_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0013_sync_image_0000000026_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0013_sync_image_0000000029_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000041_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000107_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000212_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000260_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000263_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000266_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000317_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000320_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0023_sync_image_0000000428_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0036_sync_image_0000000062_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0036_sync_image_0000000110_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0036_sync_image_0000000119_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0036_sync_image_0000000122_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0036_sync_image_0000000125_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0036_sync_image_0000000173_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0036_sync_image_0000000221_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0036_sync_image_0000000317_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000038_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000044_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000050_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000146_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000152_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000170_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000173_image_03.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000176_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0095_sync_image_0000000194_image_02.png|seg_0
single_pixel_100%,2011_09_26_drive_0113_sync_image_0000000080_image_02.png|seg_0
single_pixel_100%,2011_09_28_drive_0037_sync_image_0000000023_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000047_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000050_image_03.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000056_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000059_image_03.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000065_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000068_image_03.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000074_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000077_image_03.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000086_image_03.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000119_image_03.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000125_image_03.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000128_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000134_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000140_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000143_image_03.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000146_image_02.png|seg_0
single_pixel_100%,2011_09_30_drive_0016_sync_image_0000000155_image_03.png|seg_0
single_pixel_100%,2011_10_03_drive_0047_sync_image_0000000746_image_03.png|seg_0
single_pixel_100%,2011_10_03_drive_0047_sync_image_0000000764_image_03.png|seg_0
single_pixel_100%,2011_10_03_drive_0047_sync_image_0000000770_image_03.png|seg_0
single_pixel_100%,2011_10_03_drive_0047_sync_image_0000000776_image_03.png|seg_0
single_pixel_100%,2011_10_03_drive_0047_sync_image_0000000782_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0002_sync_image_0000000047_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0002_sync_image_0000000050_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000011_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000044_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000056_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000080_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000086_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000092_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000092_image_02.png|seg_1
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000095_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000095_image_03.png|seg_1
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000107_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000110_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000116_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000119_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000128_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000131_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000134_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000140_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0005_sync_image_0000000146_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000005_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000011_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000017_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000020_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000023_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000026_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000029_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000032_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000050_image_02.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000053_image_03.png|seg_0
quantile_band_10%,2011_09_26_drive_0013_sync_image_0000000068_image_02.png|seg_0
