setting,class_name,N,mean|e|,med|e|,mean(gt-p),med(gt-p),MSE,meanRel%,medRel%,RMSE
single_pixel_100%,sidewalk,32,1.169189453125,0.275390625,-0.13232421875,0.25,8.16153621673584,13.987973975029798,4.261118815477911,2.856840250475311
single_pixel_100%,crosswalk,23,1.0794836956521738,0.44140625,1.0794836956521738,0.44140625,9.800672448199728,10.55083228221432,7.226792009400705,3.130602569506345
single_pixel_100%,tree-lined,13,2.07421875,1.00390625,1.3927283653846154,0.89453125,10.331037081204927,12.538792487626198,8.541043536058492,3.214193068439562
single_pixel_100%,Stairs,1,0.6640625,0.6640625,0.6640625,0.6640625,0.44097900390625,5.187671650900214,5.187671650900214,0.6640625
quantile_band_10%,sidewalk,106,0.752174233490566,0.52734375,0.752174233490566,0.52734375,1.8078197263321787,8.984520630047596,7.649855632197296,1.3445518682193627
quantile_band_10%,crosswalk,46,0.8248980978260869,0.615234375,0.8243885869565217,0.615234375,1.995451554008152,8.500898160941835,8.656875652923084,1.4126045285245805
quantile_band_10%,tree-lined,39,1.7438902243589745,0.75,0.5722155448717948,0.6796875,8.62477268316807,11.153338474632084,10.55363321799308,2.9367963298751363
quantile_band_10%,Stairs,11,0.29651988636363635,0.1328125,0.009588068181818182,0.0,0.20533197576349432,3.2427631190137136,1.0091145833333335,0.45313571450890333
quantile_band_20%,sidewalk,106,0.7567806603773585,0.423828125,0.7567806603773585,0.423828125,2.1780188218602596,8.218908502776301,6.246636759864017,1.4758112419480547
quantile_band_20%,crosswalk,46,0.8020550271739131,0.537109375,0.8020550271739131,0.537109375,1.91045910379161,8.32816854516,7.361203037257601,1.3821935840509498
quantile_band_20%,tree-lined,39,1.5076121794871795,0.6640625,0.34975961538461536,0.5625,5.688965626252004,9.515740093383517,8.962264150943396,2.38515526250431
quantile_band_20%,Stairs,11,0.41015625,0.234375,0.11328125,0.0546875,0.33453507856889203,4.268527359810104,3.579952267303103,0.5783900747496382
quantile_band_30%,sidewalk,106,0.5892909787735849,0.345703125,0.5892909787735849,0.345703125,0.9501171471937647,6.6757122065837455,5.15182896213598,0.974739527870787
quantile_band_30%,crosswalk,46,0.7093240489130435,0.46875,0.7093240489130435,0.46875,1.7028772105341372,7.283560079466912,6.4309462742064625,1.3049433744550516
quantile_band_30%,tree-lined,39,1.3364383012820513,0.58203125,0.29997996794871795,0.5078125,4.364800477639223,8.670447995844205,7.817197835237523,2.0892104914630365
quantile_band_30%,Stairs,11,0.27592329545454547,0.078125,0.13103693181818182,0.06640625,0.1595583829012784,2.8596422136835398,0.9491903964265772,0.3994475971905181
